BOOK_ID,Senti_S1,Senti_S2,Senti_S3,Senti_E1,Senti_E2,Senti_E3,S_count,Avg_S_len,Flesch,W_count,Noun_Cnt
pg15941,121.26438492063491,127.92181069958848,113.03520553520552,111.02274824658545,117.08621094667606,118.65953842219663,2445,20.94233128834356,82.48,51204,425
pg15989,108.06408238226419,99.43385116041365,106.5682836899942,105.0427031509121,112.58607503607503,114.35675565175565,3343,13.229135507029614,79.6,44225,253
pg16039,117.21671335200747,114.44140539595085,117.40206916099774,116.16392584380388,106.66713411783834,122.01511437908496,9886,16.417661339267653,72.8,162305,855
pg16080,104.07430028717157,106.50204745018574,109.39834594273844,115.05519844913783,108.97469746974697,107.80098238482385,10754,17.921424586200484,72.19,192727,590
pg16094,104.48120278414396,116.72469593898165,114.61541950113379,108.4508242898654,105.28571428571429,103.19131794131795,9338,15.311308631398587,75.74,142977,631
pg16137,109.05308726361358,111.60147849462365,112.36464907248038,103.74061264822134,101.53711231048894,105.1496632996633,10964,10.630153228748632,77.47,116549,541
pg16138,106.55228240594094,111.79854441854442,106.14281768578644,122.35542311569709,120.03226711560045,107.51537698412699,5208,20.857910906298002,80.14,108628,549
pg16143,115.33096665239522,111.70808916693062,114.0194145758662,125.80592691622104,112.91104243815087,102.6006054131054,3459,17.893899971089912,76.15,61895,376
pg161,115.88557654466744,113.84714491857349,114.26196191047677,118.5357499643214,120.33119490950817,107.15352049910874,5191,23.126565209015602,58.45,120050,351
pg16217,121.32000835421888,120.2034404192299,120.39281746031745,112.65976905039406,107.78291637303266,119.57173382173383,8643,20.16371630220988,65.19,174275,853
pg16252,121.20702986152423,119.53544616044616,112.63245610275314,114.18169225952244,106.85369517964453,116.88230861965039,3218,22.07426973275326,71.38,71035,348
pg16283,116.75353925353926,108.38237283549783,109.57905982905982,110.2076330532213,112.60006901311247,113.09976708074534,4713,16.67515382983238,67.49,78590,410
pg1634,110.21784666945958,112.93748711605853,108.77584776334777,114.22108924062049,113.71074934455217,118.61328229383786,5785,11.603802938634399,88.36,67128,417
pg16345,119.51596530084902,114.005376344086,124.38688258781718,100.72081930415264,88.92455158300228,100.7433504933505,1161,18.42807924203273,67.93,21395,112
pg16381,107.97795414462081,106.00521132147638,111.8593795093795,110.47908093278464,107.01239283592226,109.91099357631614,8120,12.361576354679803,77.98,100376,779
pg16398,108.67919983242564,113.15964590964592,105.58790521909333,125.99363381716324,124.43442292171105,121.96705426356588,7557,20.91398703189096,69.65,158047,483
pg16403,107.68871753246754,108.60962962962964,104.21582892416225,102.45154308057533,104.06988536155201,95.25159548355424,2935,18.163543441226576,61.7,53310,249
pg16453,122.97515764296585,117.40985750360751,117.09246711420624,126.66463298606156,120.25592726542094,112.56465756465757,5115,14.947409579667644,76.15,76456,521
pg16497,105.62115472910926,112.29093389249638,108.48809523809524,110.76730486008837,110.17929722394008,101.6418201058201,9107,12.557593060283299,75.44,114362,457
pg16554,117.85242587601077,108.8347800925926,116.68331271902699,107.33721725604843,117.43823099415205,103.69255952380954,7560,11.951058201058201,81.63,90350,755
pg16574,110.28318135764943,113.50061842918984,104.1765873015873,112.26722672267226,103.65652056277057,113.09540877282814,1141,30.532865907099037,49.52,34838,367
pg16612,102.05862405568288,103.6851170021273,106.45548039923041,117.52391995759344,117.12424242424242,104.7949849480022,6234,15.042829643888354,79.19,93777,569
pg16662,105.3780806182122,106.57884388918872,108.9800785634119,124.86385281385282,119.27152477152477,119.59303627407074,5821,22.814636660367633,67.52,132804,590
pg16676,112.73058221971266,105.3715827551444,114.8187251984127,109.49472263132056,106.82163207163207,106.58645983645985,3358,21.10452650387135,63.87,70869,198
pg16682,102.08897243107768,110.78945753559155,106.76669925057021,120.21867612293144,111.6811568061568,106.91919191919193,4356,15.57208448117539,71.58,67832,415
pg16703,112.90137987012987,115.27201492036656,111.09984974933428,112.03151502493607,97.69099378881988,101.29845679012345,4971,18.936230134781734,62.11,94132,559
pg16719,114.36602800491688,109.8897462277092,103.50853548966757,110.83964646464646,123.15225286573602,110.65416666666667,772,13.488341968911918,78.08,10413,118
